CustomerID,Customer_Segment,Age,Gender,Job_Category,Annual_Income,Marital_Status,Product,Quantity,Unit_Price,Discount_Applied,Payment_Method,Revenue,Customer_Lifetime_Value,Profit_Margin,Loyalty_Score,Loyalty_Tier,Customer_Satisfaction,Purchase_Frequency,Days_Since_Last_Purchase,Purchase_Date,Purchase_Hour,Season,Days_to_Next_Purchase,Payment_Delay_Days,First_Purchase_Channel,Net_Revenue,Revenue_per_Unit,Age_Group,Revenue_Tier,Purchase_Month,Purchase_Quarter,Purchase_Year
C00001,Regular,49,Female,Manufacturing,53900,Single,Product_C,2,40.56,0.449,Bank Transfer,236,6542,0.536,7.7,Bronze,1,5,4,16-10-2024,19,Winter,58,8,Online,130.036,118,46-60,Low,10,4,2024
C00002,New,39,Male,IT,47557,Single,Product_D,3,79.07,0.187,PayPal,100,4803,0.152,12.1,Bronze,1.1,13,2,25-04-2023,14,Summer,24,3,App,81.3,33.33,31-45,Low,4,2,2023
C00003,Regular,51,Female,Other,81597,Widowed,Product_E,3,36.91,0.071,Credit Card,207,9149,0.552,16.3,Bronze,1.2,2,19,26-01-2023,14,Summer,26,1,Online,192.303,69,46-60,Low,1,1,2023
C00004,Regular,64,Male,Finance,100299,Married,Product_D,1,85.07,0.344,PayPal,9645,61603,0.454,40.3,Silver,5,5,20,09-10-2023,16,Winter,5,26,App,6327.12,9645,60+,Premium,10,4,2023
C00005,New,38,Female,Other,132438,Married,Product_E,1,64.41,0.283,Bank Transfer,1851,28342,0.348,29.7,Silver,3,12,32,08-09-2023,12,Winter,7,2,Online,1327.167,1851,31-45,High,9,3,2023
C00006,VIP,38,Male,Manufacturing,73299,Married,Product_C,1,47.59,0.1,Credit Card,406,28312,0.586,25.9,Silver,1.7,1,10,17-08-2023,13,Spring,154,0,Store,365.4,406,31-45,Low,8,3,2023
C00007,New,65,Non-binary,Finance,101885,Married,Product_D,1,146.46,0.091,Bank Transfer,615,38735,0.337,38.1,Silver,2.5,9,15,23-05-2023,6,Spring,10,1,Online,559.035,615,60+,Medium,5,2,2023
C00008,VIP,53,Male,Education,107531,Married,Product_D,1,52.04,0.363,Digital Wallet,5176,64485,0.284,32.8,Silver,3.5,7,47,15-04-2023,19,Spring,13,19,App,3297.112,5176,46-60,Premium,4,2,2023
C00009,New,34,Female,Retail,49696,Married,Product_E,2,35.56,0.265,PayPal,132,6606,0.238,8.3,Bronze,1,2,11,23-11-2024,14,Summer,16,9,Store,97.02,66,31-45,Low,11,4,2024
C00010,New,50,Male,Education,47504,Married,Product_B,1,32.34,0.181,PayPal,597,26744,0.754,33.6,Silver,3.2,6,44,12-07-2024,18,Summer,124,1,Online,488.943,597,46-60,Medium,7,3,2024
C00011,Regular,35,Female,Manufacturing,30856,Divorced,Product_E,1,243.85,0.104,Credit Card,760,15378,0.359,28.2,Silver,1.2,1,1,31-03-2023,11,Summer,30,5,Online,680.96,760,31-45,Medium,3,1,2023
C00012,New,35,Female,Healthcare,25000,Married,Product_C,3,72.58,0.277,Credit Card,3801,10454,0.427,39.7,Silver,3.5,2,18,27-08-2024,14,Winter,74,0,Online,2748.123,1267,31-45,Premium,8,3,2024
C00013,Regular,45,Female,Finance,25000,Single,Product_A,2,80.89,0.331,Credit Card,316,1746,0.506,6.1,Bronze,1,6,6,08-03-2024,13,Winter,72,8,Online,211.404,158,31-45,Low,3,1,2024
C00014,Regular,18,Female,IT,25000,Married,Product_A,3,163.56,0.254,Credit Card,1285,9269,0.413,19.5,Bronze,1.6,4,1,02-02-2023,,Spring,2,7,Online,958.61,428.33,18-30,High,2,1,2023
C00015,Regular,18,Female,Other,67102,Married,Product_B,2,176.27,0.111,PayPal,100,14031,0.486,13.1,Bronze,1.5,8,21,31-01-2023,8,Summer,126,10,App,88.9,50,18-30,Low,1,1,2023
C00016,New,33,Female,Healthcare,25000,Married,Product_E,1,44.71,0.223,Bank Transfer,1333,5686,0.439,26.3,Silver,2.4,3,7,06-04-2023,12,Winter,40,2,Online,1035.741,1333,31-45,High,4,2,2023
C00017,Regular,26,Male,Healthcare,108983,Single,Product_D,4,298.71,0.239,Bank Transfer,762,27395,0.34,30,Silver,2.1,1,29,12-08-2023,13,Summer,43,2,App,579.882,190.5,18-30,Medium,8,3,2023
C00018,Regular,46,Non-binary,Education,41067,Married,Product_D,1,17.02,0.249,PayPal,395,3062,0.482,7.1,Bronze,1,3,3,27-08-2023,15,Summer,12,18,Store,296.645,395,46-60,Low,8,3,2023
C00019,Regular,28,Male,Education,44293,Married,Product_D,2,33.15,0.253,PayPal,1349,44704,0.306,51.6,Gold,3,4,13,01-06-2024,16,Spring,7,6,Online,1007.703,674.5,18-30,High,6,2,2024
C00020,Regular,20,Male,Other,46670,Single,Product_E,2,70.35,0.251,PayPal,1268,35632,0.117,62.1,Gold,3.7,6,22,08-09-2024,7,Fall,63,6,Store,949.732,634,18-30,High,9,3,2024
C00021,VIP,63,Female,Other,77927,Married,Product_E,2,57.65,0.062,Credit Card,1158,34476,0.465,31,Silver,2.6,6,1,28-01-2023,15,Spring,72,2,Phone,1086.204,579,60+,High,1,1,2023
C00022,VIP,38,Male,Healthcare,88644,Married,Product_B,4,51.98,0.367,PayPal,5434,22845,0.256,34.5,Silver,3.8,11,1,28-07-2024,13,Winter,21,2,Online,3439.722,1358.5,31-45,Premium,7,3,2024
C00023,New,43,Female,Retail,25000,Married,Product_E,1,48.44,0.116,Credit Card,376,4552,0.18,17.9,Bronze,1,3,40,23-07-2023,21,Fall,1,6,Online,332.384,376,31-45,Low,7,3,2023
C00024,New,20,Female,Retail,82623,Married,Product_A,2,154.44,0.147,Bank Transfer,365,44022,0.596,36.3,Silver,2.6,3,15,27-10-2024,9,Summer,23,11,App,311.345,182.5,18-30,Low,10,4,2024
C00025,VIP,33,Male,Education,39835,Divorced,Product_D,2,62.94,0.145,Digital Wallet,576,5097,0.237,19.8,Bronze,1.1,11,23,19-12-2024,12,Summer,12,0,Online,492.48,288,31-45,Medium,12,4,2024
C00026,Regular,43,Male,Manufacturing,29671,Divorced,Product_B,3,10.75,0.277,Credit Card,322,1967,0.198,12.5,Bronze,1,10,6,12-07-2024,18,Fall,88,0,Phone,232.806,107.33,31-45,Low,7,3,2024
C00027,Regular,24,Male,Retail,25000,Divorced,Product_D,5,179.67,0.15,Bank Transfer,2396,8759,0.574,35.9,Silver,2.2,10,5,05-03-2024,14,Summer,97,2,Online,2036.6,479.2,18-30,Premium,3,1,2024
C00028,Regular,47,Female,Healthcare,25000,Married,Product_A,1,26.68,0.167,PayPal,1154,4882,0.69,19.5,Bronze,2.5,3,11,14-08-2023,8,Spring,52,6,Phone,961.282,1154,46-60,High,8,3,2023
C00029,Regular,32,Non-binary,Healthcare,25583,Married,Product_C,1,168.73,0.169,Credit Card,1353,6865,0.305,21,Bronze,2.3,5,92,04-04-2024,12,Summer,101,1,Online,1124.343,1353,31-45,High,4,2,2024
C00030,VIP,37,Female,Finance,42848,Single,Product_B,2,28.17,0.107,PayPal,100,7573,0.732,12.5,Bronze,1,5,28,26-08-2024,18,Fall,7,12,Online,89.3,50,31-45,Low,8,3,2024
C00031,New,32,Female,Other,25000,Married,Product_E,1,14.89,0.249,Credit Card,316,4978,0.398,13.7,Bronze,1,1,36,12-10-2023,18,Summer,95,22,Store,237.316,316,31-45,Low,10,4,2023
C00032,New,69,Non-binary,Other,136983,Single,Product_A,2,133.68,0.328,PayPal,132,23803,0.602,11.1,Bronze,1.5,6,0,07-01-2023,14,Summer,25,0,Store,88.704,66,60+,Low,1,1,2023
C00033,New,41,Male,Other,25000,Single,Product_E,2,79.71,0.246,Bank Transfer,5595,21315,0.152,50.3,Gold,4.9,9,2,13-06-2023,13,Winter,19,1,Online,4218.63,2797.5,31-45,Premium,6,2,2023
C00034,VIP,26,Male,Education,34119,Married,Product_B,4,30.37,0.233,Credit Card,8324,7524,0.513,26.1,Silver,5,3,87,15-12-2024,8,Winter,41,12,Store,6384.508,2081,18-30,Premium,12,4,2024
C00035,New,54,Female,Manufacturing,97212,Married,Product_E,1,36.23,0.143,Credit Card,1561,67564,0.268,59.2,Gold,3.3,5,15,08-03-2024,17,Winter,8,17,Online,1337.777,1561,46-60,High,3,1,2024
C00036,Regular,23,Female,Finance,76794,Single,Product_E,1,32.14,0.141,Credit Card,2003,54127,0.058,56.4,Gold,3.7,2,44,15-12-2023,9,Winter,39,2,App,1720.577,2003,18-30,Premium,12,4,2023
C00037,New,45,Female,IT,25000,Single,Product_D,1,63.07,0.193,PayPal,129,4499,0.199,22.1,Bronze,2.6,15,32,12-10-2023,15,Fall,16,3,Store,104.103,129,31-45,Low,10,4,2023
